Generation,Original strategy,Short original strategy,simplified strategy,Short simplified strategy,Original Depth,Simplified Depth,Original Complexity,Simple Complexity
0,random-action:,U,random-action:,U,1,1,1,1
0,previous-action:,T,previous-action:,T,1,1,1,1
0,random-action-of-type-other-than:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:type-action:,W525W5W3,random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:type-action:,W5W5W3,8,6,1,1
0,random-unexecuted-action:,1,random-unexecuted-action:,1,1,1,1,1
0,random-most-executed-action:,Y,random-most-executed-action:,Y,1,1,1,1
0,random-action-of-type-other-than:type-of-action-of:random-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-action-of-type:type-action:,W5V5W5V3,random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:type-action:,W5W3,8,4,1,1
0,if-then-else:not:and:greater-than:number-of-actions-of-type:drag-action:number-of-actions-of-type:drag-action:equalstype:type-of-action-of:random-action:type-of-action-of:random-least-executed-action:if-then-else:or:equalstype:type-of-action-of:random-least-executed-action:type-of-action-of:random-action:not:equalstype:hit-key-action:drag-action:random-action-of-type:type-of-action-of:if-then-else:drag-actions-available:random-least-executed-action:random-action:random-unexecuted-action-of-type:type-of-action-of:if-then-else:type-actions-available:random-most-executed-action:random-most-executed-action:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-least-executed-action:,GIAFKCKC85U5XGS85X5UI86CV5GDXU25G4YY25W5X,random-action-of-type:type-of-action-of:if-then-else:drag-actions-available:random-least-executed-action:random-action:,V5GDXU,6,4,5,2
0,random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:drag-action:,W5WC,random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:drag-action:,W5WC,4,4,1,1
0,random-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:type-action:,V5W5W3,random-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:type-action:,V5W5W3,6,6,1,1
0,if-then-else:or:not:equalstype:type-of-action-of:if-then-else:greater-than:number-of-unexecuted-type-actions:number-of-unexecuted-type-actions:random-unexecuted-action-of-type:drag-action:random-action-of-type:click-action:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-least-executed-action:equals:number-of-actions-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-action:number-of-actions-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-least-executed-action:random-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-action-of-type:type-of-action-of:previous-action:if-then-else:and:or:equalstype:type-of-action-of:random-action-of-type:type-action:type-of-action-of:random-action-of-type-other-than:hit-key-action:equals:number-of-actions-of-type:type-of-action-of:random-least-executed-action:number-of-actions-of-type:type-of-action-of:random-unexecuted-action:and:greater-than:number-of-actions-of-type:type-of-action-of:previous-action:number-of-actions-of-type:type-of-action-of:random-least-executed-action:or:and:equalstype:hit-key-action:type-action:equals:random-number:random-number:equals:number-of-actions-of-type:click-action:number-of-actions-of-type:click-action:random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:click-action:random-unexecuted-action-of-type:type-of-action-of:if-then-else:greater-than:number-of-actions-of-type:click-action:number-of-actions-of-type:drag-action:random-action-of-type-other-than:type-of-action-of:random-most-executed-action:random-action-of-type-other-than:type-of-action-of:random-most-executed-action:,GSI85GFRR2CVB5W5XEK5W5UK525XV5W5V5TGAS85V35W6EK5XK51AFK5TK5XSA863EZZEKBKB2525VB25GFKBKCW5YW5Y,if-then-else:or:not:equalstype:click-action:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-least-executed-action:equals:number-of-actions-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-action:number-of-actions-of-type:type-of-action-of:random-least-executed-action:random-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:previous-action:if-then-else:and:or:equalstype:type-action:type-of-action-of:random-action-of-type-other-than:hit-key-action:equals:number-of-actions-of-type:type-of-action-of:random-least-executed-action:number-of-actions-of-type:type-of-action-of:random-unexecuted-action:greater-than:number-of-actions-of-type:type-of-action-of:previous-action:number-of-actions-of-type:type-of-action-of:random-least-executed-action:random-unexecuted-action-of-type:click-action:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-most-executed-action:,GSI8B5W5XEK5W5UK5XV5W5TGAS835W6EK5XK51FK5TK5X2B25W5Y,8,8,5,3
