ActionsExecuted, UniqueStates
1,1
2,2
3,3
4,4
5,4
6,4
7,5
8,6
9,6
10,6
11,7
12,8
13,9
14,10
15,10
16,11
17,12
18,13
19,13
20,13
21,14
22,14
23,14
24,14
25,15
26,16
27,16
28,16
29,17
30,17
31,18
32,18
33,19
34,20
35,21
36,22
37,23
38,24
39,25
40,26
41,27
42,27
43,27
44,28
45,28
46,29
47,30
48,31
49,31
50,31
51,32
52,33
53,33
54,34
55,35
56,35
57,35
58,36
59,36
60,37
61,38
62,39
63,40
64,41
65,41
66,41
67,42
68,42
69,43
70,43
71,44
72,44
73,45
74,46
75,47
76,48
77,49
78,49
79,50
80,51
81,52
82,53
83,53
84,53
85,53
86,53
87,53
88,53
89,53
90,53
91,53
92,54
93,55
94,55
95,55
96,55
97,55
98,55
99,55
100,55
101,55
102,55
103,56
104,56
105,57
106,58
107,58
108,58
109,58
110,58
111,59
112,59
113,59
114,60
115,60
116,61
117,61
118,61
119,62
120,62
121,62
122,63
123,63
124,63
125,64
126,64
127,65
128,65
129,66
130,67
131,67
132,67
133,67
134,67
135,67
136,67
137,67
138,67
139,67
140,67
141,67
142,67
143,67
144,67
145,67
146,67
147,67
148,67
149,67
150,67
151,67
152,67
153,67
154,67
155,67
156,67
157,68
158,69
159,69
160,70
161,71
162,71
163,71
164,72
165,73
166,74
167,74
168,75
169,76
170,76
171,77
172,77
173,78
174,78
175,79
176,80
177,80
178,81
179,81
180,81
181,82
182,83
183,84
184,85
185,86
186,86
187,86
188,87
189,87
190,88
191,89
192,90
193,90
194,90
195,91
196,92
197,92
198,92
199,92
200,92
201,92
202,93
203,94
204,95
205,96
206,97
207,98
208,98
209,98
210,99
211,100
212,101
213,101
214,101
215,102
216,103
217,103
218,103
219,103
220,103
221,103
222,103
223,103
224,103
225,103
226,103
227,104
228,104
229,105
230,105
231,106
232,107
233,107
234,108
235,109
236,110
237,111
238,112
239,113
240,114
241,115
242,116
243,116
244,117
245,117
246,117
247,118
248,118
249,119
250,120
251,121
252,122
253,123
254,124
255,125
256,126
257,127
258,127
259,128
260,128
261,128
262,128
263,129
264,130
265,131
266,132
267,133
268,134
269,135
270,136
271,137
272,138
273,138
274,139
275,140
276,141
277,142
278,143
279,144
280,145
281,145
282,146
