Subpopulation,Counter,Strategy,Short strategy,Simplified strategy,Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity,fitness, fitness median, fitnes mean, timestamp
0,1,random-least-executed-action:,X,X,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999,Infinity,0.0,0.0,2020-02-07 14:55:00
0,2,random-least-executed-action:,X,X,1.0,2372.0,496.0,496.0,166.0,288.0,138.0,0.0,0.0,0.006024096385542169,0.0,0.0,2020-02-07 15:35:07
0,3,random-least-executed-action:,X,X,1.0,3795.0,311.0,311.0,112.0,224.0,112.0,0.0,0.99999999,0.008928571428571428,0.0,0.0,2020-02-07 16:38:59
0,4,random-least-executed-action:,X,X,1.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99999999,Infinity,0.0,0.0,2020-02-07 17:24:06
0,5,random-least-executed-action:,X,X,1.0,2036.0,495.0,495.0,219.0,306.0,150.0,0.0,0.0,0.0045662100456621,0.0,0.0,2020-02-07 18:09:17
0,6,random-least-executed-action:,X,X,1.0,2064.0,496.0,496.0,217.0,268.0,201.0,0.0,0.0,0.004608294930875576,0.0,0.0,2020-02-07 18:44:04
0,7,random-least-executed-action:,X,X,1.0,194.0,95.0,95.0,39.0,71.0,13.0,0.0,0.0,0.02564102564102564,0.0,0.0,2020-02-07 22:22:00
0,8,random-least-executed-action:,X,X,1.0,1497.0,383.0,383.0,156.0,227.0,120.0,0.0,0.99999999,0.00641025641025641,0.0,0.0,2020-02-07 22:47:10
0,9,random-least-executed-action:,X,X,1.0,2690.0,500.0,500.0,93.0,267.0,290.0,0.0,0.0,0.010752688172043012,0.0,0.0,2020-02-07 23:32:32
0,10,random-least-executed-action:,X,X,1.0,1224.0,432.0,432.0,158.0,231.0,141.0,0.0,0.99999999,0.006329113924050633,0.0,0.0,2020-02-07 23:53:15
0,11,random-least-executed-action:,X,X,1.0,352.0,498.0,498.0,5.0,2.0,497.0,0.0,0.0,0.2,0.0,0.0,2020-02-07 23:59:24
0,12,random-least-executed-action:,X,X,1.0,881.0,476.0,476.0,103.0,152.0,164.0,0.0,0.0,0.009708737864077669,0.0,0.0,2020-02-08 00:14:21
0,13,random-least-executed-action:,X,X,1.0,1123.0,485.0,485.0,155.0,270.0,176.0,0.0,0.0,0.0064516129032258064,0.0,0.0,2020-02-08 00:43:29
0,14,random-least-executed-action:,X,X,1.0,403.0,172.0,172.0,68.0,121.0,37.0,0.0,0.0,0.014705882352941176,0.0,0.0,2020-02-08 00:50:31
0,15,random-least-executed-action:,X,X,1.0,1063.0,498.0,498.0,146.0,250.0,216.0,0.0,0.0,0.00684931506849315,0.0,0.0,2020-02-08 01:08:34
0,16,random-least-executed-action:,X,X,1.0,1237.0,363.0,363.0,9.0,128.0,352.0,0.0,0.0,0.1111111111111111,0.0,0.0,2020-02-08 01:29:29
0,17,random-most-executed-action:,Y,Y,1.0,995.0,282.0,282.0,146.0,194.0,86.0,0.0,0.99999999,0.00684931506849315,0.0,0.0,2020-02-08 10:42:22
0,18,random-most-executed-action:,Y,Y,1.0,881.0,446.0,446.0,156.0,243.0,207.0,0.0,0.99999999,0.00641025641025641,0.0,0.0,2020-02-08 10:57:23
0,19,random-most-executed-action:,Y,Y,1.0,998.0,498.0,498.0,173.0,346.0,243.0,0.0,0.0,0.005780346820809248,0.0,0.0,2020-02-08 11:14:16
0,20,random-unexecuted-action-of-type:click-action:,2B,2B,1.0,939.0,496.0,496.0,106.0,282.0,360.0,0.0,0.0,0.009433962264150943,0.0,0.0,2020-02-09 12:25:29
0,21,random-unexecuted-action-of-type:click-action:,2B,2B,1.0,1414.0,498.0,498.0,119.0,300.0,271.0,0.0,0.0,0.008403361344537815,0.0,0.0,2020-02-09 12:49:14
0,22,random-unexecuted-action-of-type:click-action:,2B,2B,1.0,373.0,500.0,500.0,5.0,2.0,499.0,0.0,0.0,0.2,0.0,0.0,2020-02-09 13:17:53
0,23,random-unexecuted-action-of-type:click-action:,2B,2B,1.0,1199.0,419.0,419.0,118.0,311.0,181.0,0.0,0.99999999,0.00847457627118644,0.0,0.0,2020-02-09 13:38:10
0,24,random-unexecuted-action-of-type:click-action:,2B,2B,1.0,1266.0,393.0,393.0,113.0,207.0,159.0,0.0,0.99999999,0.008849557522123894,0.0,0.0,2020-02-09 13:59:36
0,25,random-unexecuted-action-of-type:click-action:,2B,2B,1.0,1169.0,498.0,498.0,135.0,228.0,248.0,0.0,0.0,0.007407407407407408,0.0,0.0,2020-02-09 14:19:36
0,26,random-unexecuted-action-of-type:click-action:,2B,2B,1.0,1097.0,500.0,500.0,167.0,272.0,196.0,0.0,0.0,0.005988023952095809,0.0,0.0,2020-02-09 19:35:15
0,27,random-unexecuted-action-of-type:click-action:,2B,2B,1.0,62.0,30.0,30.0,13.0,25.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,2020-02-09 19:36:33
0,28,random-unexecuted-action-of-type:click-action:,2B,2B,1.0,1040.0,496.0,496.0,152.0,222.0,295.0,0.0,0.0,0.006578947368421052,0.0,0.0,2020-02-09 19:54:12
0,29,random-unexecuted-action-of-type:click-action:,2B,2B,1.0,1020.0,498.0,498.0,146.0,248.0,211.0,0.0,0.0,0.00684931506849315,0.0,0.0,2020-02-09 20:11:36
0,30,random-unexecuted-action-of-type:click-action:,2B,2B,1.0,1518.0,492.0,492.0,210.0,320.0,92.0,0.0,0.0,0.004761904761904762,0.0,0.0,2020-02-09 20:40:45
