ActionsExecuted, UniqueStates
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,7
9,8
10,9
11,10
12,11
13,12
14,13
15,13
16,13
17,13
18,13
19,14
20,14
21,15
22,15
23,15
24,15
25,15
26,15
27,16
28,17
29,18
30,19
31,20
32,20
33,20
34,21
35,22
36,22
37,22
38,23
39,24
40,24
41,24
42,25
43,26
44,26
45,26
46,26
47,26
48,27
49,28
50,29
51,30
52,30
53,31
54,31
55,32
56,32
57,33
58,33
59,33
60,34
61,35
62,35
63,35
64,35
65,35
66,35
67,36
68,36
69,36
70,36
71,36
72,36
73,36
74,36
75,36
76,37
77,38
78,39
79,40
80,40
81,41
82,42
83,43
84,44
85,45
86,45
