ActionsExecuted, UniqueStates
1,1
2,1
3,2
4,2
5,2
6,3
7,4
8,5
9,6
10,7
11,7
12,7
13,8
14,9
15,9
16,10
17,11
18,12
19,13
20,14
21,14
22,14
23,15
24,16
25,16
26,16
27,16
28,17
29,18
30,18
31,18
32,18
33,18
34,18
35,19
36,20
37,20
38,20
39,20
40,20
41,20
42,20
43,20
44,20
45,21
46,22
47,22
48,22
49,22
50,22
51,22
52,22
53,22
54,23
55,24
56,25
57,25
58,25
59,26
60,26
61,27
62,28
63,28
64,28
65,29
66,30
67,31
68,32
69,33
70,34
71,35
72,35
73,36
74,37
75,37
76,37
77,37
78,38
79,38
80,38
81,38
82,38
83,38
84,38
85,38
86,39
87,39
88,39
89,40
90,40
91,40
92,41
93,41
94,41
95,41
96,41
97,41
98,41
99,41
100,41
