ActionsExecuted, UniqueStates
1,1
2,2
3,3
4,4
5,4
6,4
7,4
8,4
9,4
10,5
11,6
12,6
13,6
14,6
15,6
16,6
17,6
18,7
19,7
20,7
21,7
22,8
23,9
24,10
25,10
26,10
27,10
28,11
29,12
30,13
31,14
32,15
33,15
34,15
35,15
36,16
37,16
38,17
39,18
40,19
41,20
42,20
43,21
44,22
45,23
46,24
47,24
48,24
49,24
50,25
51,26
52,26
53,27
54,28
55,29
56,30
57,31
58,32
59,32
60,33
61,33
62,34
63,34
64,35
65,36
66,36
67,37
68,38
69,39
70,40
71,40
72,40
73,41
74,42
75,43
76,43
77,43
78,44
79,45
80,46
81,47
82,47
83,48
84,49
85,50
86,50
87,51
88,52
89,52
90,53
91,54
92,55
93,56
94,57
95,58
96,59
97,60
98,61
99,62
100,63
101,63
102,63
103,63
104,64
105,65
106,66
107,67
108,68
109,68
110,68
111,69
112,69
113,70
114,71
115,72
116,72
117,72
118,72
119,72
120,73
121,74
122,75
123,76
124,77
125,77
126,78
127,78
128,79
129,79
130,80
131,80
132,80
133,80
134,80
135,80
136,81
137,82
138,82
139,83
140,83
141,83
142,83
143,83
144,83
145,83
146,84
147,85
148,85
149,85
150,85
151,86
152,86
153,87
154,87
155,88
156,88
157,88
158,88
159,88
160,88
161,89
162,90
163,90
164,91
165,92
166,93
167,93
168,94
169,94
170,94
171,94
172,95
173,96
174,97
175,98
176,99
177,100
178,101
179,102
180,103
181,104
182,105
183,106
