Subpopulation,Counter,Strategy,Short strategy,Simplified strategy,Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity,fitness, fitness median, fitnes mean, timestamp
0,221,random-action:,U,U,1.0,53.0,3.0,3.0,1.0,1.0,0.0,0.0,0.9999999,1.0,1.0,1.0,2019-07-28 12:16:55
0,222,random-action:,U,U,1.0,264.0,100.0,100.0,49.0,65.0,0.0,0.0,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,2019-07-28 12:22:04
0,223,random-action:,U,U,1.0,233.0,100.0,100.0,29.0,54.0,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,2019-07-28 12:26:31
0,224,random-action:,U,U,1.0,275.0,100.0,100.0,30.0,58.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,2019-07-28 12:31:38
0,225,random-action:,U,U,1.0,273.0,100.0,100.0,33.0,54.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,2019-07-28 12:36:43
0,226,random-action:,U,U,1.0,258.0,100.0,100.0,47.0,57.0,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,2019-07-28 12:41:32
0,227,random-action:,U,U,1.0,259.0,100.0,100.0,33.0,48.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,2019-07-28 12:46:26
0,228,random-action:,U,U,1.0,269.0,100.0,100.0,35.0,57.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,2019-07-28 12:51:28
0,229,random-action:,U,U,1.0,259.0,100.0,100.0,50.0,70.0,0.0,0.0,0.0,0.02,0.02,0.02,2019-07-28 12:56:22
0,230,random-action:,U,U,1.0,277.0,100.0,100.0,43.0,62.0,0.0,0.0,0.0,0.023255813953488372,0.023255813953488372,0.023255813953488372,2019-07-28 13:01:43
0,231,random-action:,U,U,1.0,211.0,100.0,100.0,17.0,53.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,2019-07-28 13:05:45
0,232,random-action:,U,U,1.0,289.0,93.0,93.0,29.0,47.0,0.0,0.0,0.99999999,0.034482758620689655,0.034482758620689655,0.034482758620689655,2019-07-28 13:11:06
0,233,random-action:,U,U,1.0,294.0,100.0,100.0,41.0,59.0,0.0,0.0,0.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,2019-07-28 13:16:36
