ActionsExecuted, UniqueStates
1,1
2,2
3,2
4,2
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,4
19,5
20,5
21,5
22,5
23,5
24,6
25,6
26,6
27,6
28,7
29,7
30,7
31,7
32,7
33,7
34,7
35,7
36,7
37,7
38,8
39,8
40,9
41,10
42,10
43,10
44,10
45,10
46,10
47,10
48,10
49,11
50,12
51,13
52,13
53,14
54,15
55,16
56,16
57,17
58,17
59,17
60,17
61,17
62,17
63,18
64,19
65,19
66,19
67,20
68,21
69,21
70,22
71,22
72,22
73,22
74,22
75,23
76,23
77,23
78,23
79,23
80,24
81,24
82,24
83,24
84,24
85,24
86,24
87,24
88,24
89,24
90,24
91,24
92,25
93,25
94,25
95,25
96,25
97,25
98,25
99,25
100,25
101,25
102,25
103,25
104,25
105,25
106,25
107,25
108,25
109,25
110,25
111,25
112,25
113,25
114,25
115,25
116,25
117,25
118,25
119,25
120,25
121,25
122,25
123,25
124,26
125,27
126,27
127,27
128,27
129,27
130,27
131,27
132,27
133,28
134,29
135,29
136,30
137,30
138,31
139,32
140,33
141,34
142,35
143,36
144,37
145,38
146,39
147,39
148,40
149,41
150,42
151,43
152,44
153,45
154,46
155,47
156,47
157,48
158,48
159,48
160,48
161,49
162,49
163,49
164,50
165,51
166,51
167,51
168,52
169,53
170,54
171,55
172,55
173,55
174,56
175,57
176,57
177,58
178,59
179,59
180,60
181,60
182,61
183,62
184,62
185,62
186,62
187,62
188,63
189,64
190,65
191,66
192,66
193,66
194,66
195,66
196,66
197,66
198,66
199,66
200,66
201,66
202,67
203,68
204,69
205,70
206,71
207,72
208,72
209,72
210,72
211,72
212,72
213,72
214,72
215,73
216,73
217,73
218,73
219,73
220,73
221,73
222,74
223,74
224,74
225,74
226,74
227,74
228,74
229,74
230,74
231,74
232,74
233,74
234,74
235,74
236,74
237,74
238,74
239,74
240,74
241,74
242,74
243,74
244,74
245,74
246,74
247,74
248,74
249,74
250,74
251,74
252,74
253,74
254,74
255,74
256,74
257,74
258,75
259,75
260,75
261,75
262,75
263,75
264,75
265,75
266,75
267,75
268,76
269,76
270,77
271,77
272,78
273,78
274,79
275,80
276,80
277,81
278,82
279,82
280,82
281,82
282,83
283,83
284,83
285,84
286,84
287,84
288,84
289,84
290,84
291,84
292,84
293,84
294,85
295,86
296,86
297,86
298,86
299,86
300,86
301,87
302,88
303,88
304,88
305,88
306,89
307,90
308,90
309,90
310,90
311,91
312,91
313,92
314,92
315,93
316,94
317,95
318,95
319,95
320,96
321,97
322,97
323,97
324,97
325,97
326,97
327,97
328,98
329,99
330,99
331,99
332,100
333,101
334,101
335,101
336,101
337,101
338,101
339,101
340,102
341,103
342,104
343,105
344,106
345,107
346,107
347,107
348,107
349,108
350,109
351,109
352,109
353,109
354,109
355,109
356,110
357,110
358,110
359,110
360,110
361,110
362,110
363,110
364,110
365,110
366,110
367,110
368,110
369,110
370,110
371,110
372,110
373,110
374,111
375,111
376,112
377,112
378,113
379,113
380,114
381,115
382,115
383,115
384,116
385,116
386,117
387,117
388,118
389,118
390,118
391,118
392,119
393,119
394,120
395,120
396,120
397,120
398,120
399,121
400,121
401,121
402,121
403,121
404,121
405,121
406,121
407,121
408,122
409,123
410,123
411,124
412,124
413,124
414,125
415,126
416,126
417,126
418,126
419,127
420,127
421,127
422,127
423,127
424,127
425,127
426,127
427,127
428,127
429,127
430,127
431,127
432,127
433,127
434,127
435,127
436,127
437,127
438,127
439,127
440,127
441,127
442,127
443,127
444,127
445,127
446,127
447,127
448,127
449,127
450,127
451,127
452,127
453,127
454,127
455,127
456,127
457,127
458,127
459,127
460,127
461,127
462,127
463,127
464,127
465,127
466,127
467,127
468,127
