Subpopulation,Counter,Strategy,Short strategy,Simplified strategy,Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity,fitness, fitness median, fitnes mean, timestamp
0,1,if-then-else:or:not:and:drag-actions-available:drag-actions-available:equals:number-of-actions-of-type:type-action:number-of-actions-of-type:click-action:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:click-action:random-action-of-type-other-than:type-of-action-of:if-then-else:state-has-not-changed:random-least-executed-action:random-action:,GSIADDEK3KB25VBW5G7XU,GSIDEK3KB2BW5G7XU,1.0,315.0,498.0,498.0,81.0,184.0,366.0,0.0,0.0,0.012345679012345678,0.0,0.0,2020-02-05 21:58:54
0,2,if-then-else:or:not:and:drag-actions-available:drag-actions-available:equals:number-of-actions-of-type:type-action:number-of-actions-of-type:click-action:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:click-action:random-action-of-type-other-than:type-of-action-of:if-then-else:state-has-not-changed:random-least-executed-action:random-action:,GSIADDEK3KB25VBW5G7XU,GSIDEK3KB2BW5G7XU,1.0,342.0,434.0,434.0,44.0,179.0,309.0,0.0,0.0,0.022727272727272728,0.0,0.0,2020-02-05 22:04:41
0,3,if-then-else:or:not:and:drag-actions-available:drag-actions-available:equals:number-of-actions-of-type:type-action:number-of-actions-of-type:click-action:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:click-action:random-action-of-type-other-than:type-of-action-of:if-then-else:state-has-not-changed:random-least-executed-action:random-action:,GSIADDEK3KB25VBW5G7XU,GSIDEK3KB2BW5G7XU,1.0,296.0,440.0,440.0,41.0,110.0,383.0,0.0,0.0,0.024390243902439025,0.0,0.0,2020-02-05 22:09:44
0,4,if-then-else:or:not:and:drag-actions-available:drag-actions-available:equals:number-of-actions-of-type:type-action:number-of-actions-of-type:click-action:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:click-action:random-action-of-type-other-than:type-of-action-of:if-then-else:state-has-not-changed:random-least-executed-action:random-action:,GSIADDEK3KB25VBW5G7XU,GSIDEK3KB2BW5G7XU,1.0,125.0,164.0,164.0,36.0,75.0,106.0,0.0,0.0,0.027777777777777776,0.0,0.0,2020-02-05 22:11:57
0,5,if-then-else:or:not:and:drag-actions-available:drag-actions-available:equals:number-of-actions-of-type:type-action:number-of-actions-of-type:click-action:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:click-action:random-action-of-type-other-than:type-of-action-of:if-then-else:state-has-not-changed:random-least-executed-action:random-action:,GSIADDEK3KB25VBW5G7XU,GSIDEK3KB2BW5G7XU,1.0,292.0,347.0,347.0,70.0,119.0,265.0,0.0,0.0,0.014285714285714285,0.0,0.0,2020-02-05 22:16:55
0,6,if-then-else:or:not:and:drag-actions-available:drag-actions-available:equals:number-of-actions-of-type:type-action:number-of-actions-of-type:click-action:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:click-action:random-action-of-type-other-than:type-of-action-of:if-then-else:state-has-not-changed:random-least-executed-action:random-action:,GSIADDEK3KB25VBW5G7XU,GSIDEK3KB2BW5G7XU,1.0,311.0,418.0,418.0,54.0,109.0,360.0,0.0,0.0,0.018518518518518517,0.0,0.0,2020-02-05 22:22:13
0,7,if-then-else:or:not:and:drag-actions-available:drag-actions-available:equals:number-of-actions-of-type:type-action:number-of-actions-of-type:click-action:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:click-action:random-action-of-type-other-than:type-of-action-of:if-then-else:state-has-not-changed:random-least-executed-action:random-action:,GSIADDEK3KB25VBW5G7XU,GSIDEK3KB2BW5G7XU,1.0,333.0,440.0,440.0,59.0,178.0,319.0,0.0,0.0,0.01694915254237288,0.0,0.0,2020-02-05 22:27:52
0,8,if-then-else:or:not:and:drag-actions-available:drag-actions-available:equals:number-of-actions-of-type:type-action:number-of-actions-of-type:click-action:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:click-action:random-action-of-type-other-than:type-of-action-of:if-then-else:state-has-not-changed:random-least-executed-action:random-action:,GSIADDEK3KB25VBW5G7XU,GSIDEK3KB2BW5G7XU,1.0,343.0,436.0,436.0,59.0,132.0,354.0,0.0,0.0,0.01694915254237288,0.0,0.0,2020-02-05 22:33:43
0,9,if-then-else:or:not:and:drag-actions-available:drag-actions-available:equals:number-of-actions-of-type:type-action:number-of-actions-of-type:click-action:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:click-action:random-action-of-type-other-than:type-of-action-of:if-then-else:state-has-not-changed:random-least-executed-action:random-action:,GSIADDEK3KB25VBW5G7XU,GSIDEK3KB2BW5G7XU,1.0,375.0,432.0,432.0,111.0,245.0,215.0,0.0,0.0,0.009009009009009009,0.0,0.0,2020-02-05 22:40:04
0,10,if-then-else:or:not:and:drag-actions-available:drag-actions-available:equals:number-of-actions-of-type:type-action:number-of-actions-of-type:click-action:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:click-action:random-action-of-type-other-than:type-of-action-of:if-then-else:state-has-not-changed:random-least-executed-action:random-action:,GSIADDEK3KB25VBW5G7XU,GSIDEK3KB2BW5G7XU,1.0,291.0,420.0,420.0,65.0,132.0,338.0,0.0,0.0,0.015384615384615385,0.0,0.0,2020-02-05 22:45:01
