ActionsExecuted, UniqueStates
1,1
2,2
3,2
4,2
5,3
6,4
7,4
8,5
9,6
10,6
11,7
12,7
13,8
14,8
15,8
16,8
17,8
18,8
19,9
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,9
30,9
31,9
32,10
33,11
34,11
35,11
36,11
37,11
38,12
39,13
40,13
41,14
42,14
43,14
44,15
45,16
46,16
47,16
48,17
49,17
50,18
51,19
52,19
53,20
54,20
55,20
56,21
57,22
58,23
59,24
60,25
61,26
62,26
63,27
64,27
65,28
66,28
67,28
68,28
69,28
70,28
71,29
72,30
73,30
74,31
75,32
76,33
77,34
78,34
79,34
80,35
81,35
82,35
83,35
84,35
85,35
86,35
87,35
88,35
89,35
90,35
91,35
92,35
93,35
94,35
95,35
96,36
