Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,341,498,498,22,100,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,307,500,500,11,79,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,323,498,498,7,81,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,311,500,500,21,84,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,883,500,500,25,106,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,5,6,6,1,6,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,307,500,500,8,88,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,322,500,500,15,87,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,335,500,500,10,83,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,316,500,500,9,84,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,333,500,500,26,92,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,356,500,500,30,100,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,26,40,40,3,23,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,320,500,500,14,82,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,305,500,500,5,81,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,336,500,500,21,100,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,221,334,334,20,80,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,377,460,460,16,80,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,353,500,500,8,88,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,462,500,500,11,92,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,355,500,500,16,83,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,4400,498,498,16,93,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,536,500,500,23,97,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,261,496,496,70,147,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,386,500,500,23,98,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,314,500,500,10,79,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,328,498,498,15,84,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,316,498,498,11,84,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,578,500,500,17,99,0,0,0.0
Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity
1,148,244,244,5,62,0,0,0.0
