Subpopulation,Counter,Strategy,Short strategy,Simplified strategy,Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity,fitness, fitness median, fitnes mean, timestamp
0,1,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,341.0,498.0,498.0,22.0,100.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,2020-02-06 13:13:49
0,2,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,356.0,500.0,500.0,30.0,100.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,2020-02-06 13:19:52
0,3,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,536.0,500.0,500.0,23.0,97.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,2020-02-06 13:28:54
0,4,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,386.0,500.0,500.0,23.0,98.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,2020-02-06 13:35:27
0,5,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,314.0,500.0,500.0,10.0,79.0,0.0,0.0,0.0,0.1,0.0,0.0,2020-02-06 13:40:48
0,6,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,328.0,498.0,498.0,15.0,84.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,2020-02-06 13:46:22
0,7,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,316.0,498.0,498.0,11.0,84.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,2020-02-06 13:51:44
0,8,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,578.0,500.0,500.0,17.0,99.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,2020-02-06 14:01:28
0,9,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,148.0,244.0,244.0,5.0,62.0,0.0,0.0,0.0,0.2,0.0,0.0,2020-02-06 14:04:03
0,10,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,307.0,500.0,500.0,11.0,79.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,2020-02-06 14:09:15
0,11,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,323.0,498.0,498.0,7.0,81.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,2020-02-06 14:14:44
0,12,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,311.0,500.0,500.0,21.0,84.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,2020-02-06 14:20:02
0,13,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,883.0,500.0,500.0,25.0,106.0,0.0,0.0,0.0,0.04,0.0,0.0,2020-02-06 14:34:51
0,14,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,5.0,6.0,6.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,2020-02-06 14:35:02
0,15,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,307.0,500.0,500.0,8.0,88.0,0.0,0.0,0.0,0.125,0.0,0.0,2020-02-06 14:40:15
0,16,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,322.0,500.0,500.0,15.0,87.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,2020-02-06 14:45:44
0,17,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,335.0,500.0,500.0,10.0,83.0,0.0,0.0,0.0,0.1,0.0,0.0,2020-02-06 14:51:25
0,18,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,316.0,500.0,500.0,9.0,84.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,2020-02-06 14:56:47
0,19,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,333.0,500.0,500.0,26.0,92.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,2020-02-06 15:02:27
0,20,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,26.0,40.0,40.0,3.0,23.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2020-02-06 15:03:00
0,21,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,320.0,500.0,500.0,14.0,82.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,2020-02-06 15:08:25
0,22,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,305.0,500.0,500.0,5.0,81.0,0.0,0.0,0.0,0.2,0.0,0.0,2020-02-06 15:13:37
0,23,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,336.0,500.0,500.0,21.0,100.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,2020-02-06 15:19:18
0,24,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,221.0,334.0,334.0,20.0,80.0,0.0,0.0,0.0,0.05,0.0,0.0,2020-02-06 15:23:05
0,25,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,377.0,460.0,460.0,16.0,80.0,0.0,0.0,0.0,0.0625,0.0,0.0,2020-02-06 15:29:29
0,26,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,353.0,500.0,500.0,8.0,88.0,0.0,0.0,0.0,0.125,0.0,0.0,2020-02-06 15:35:30
0,27,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,462.0,500.0,500.0,11.0,92.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,2020-02-06 15:43:21
0,28,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,355.0,500.0,500.0,16.0,83.0,0.0,0.0,0.0,0.0625,0.0,0.0,2020-02-06 15:49:23
0,29,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,50.0,53.0,53.0,5.0,37.0,0.0,0.0,0.0,0.2,0.0,0.0,2020-02-06 17:00:53
0,30,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,261.0,496.0,496.0,70.0,147.0,0.0,0.0,0.0,0.014285714285714285,0.06896551724137931,0.12341146809049622,2020-02-06 17:22:05
