ActionsExecuted, UniqueStates
1,1
2,1
3,1
4,1
5,1
6,2
7,2
8,3
9,4
10,5
11,6
12,6
13,6
14,6
15,7
16,8
17,8
18,9
19,9
20,9
21,10
22,11
23,12
24,12
25,12
26,12
27,13
28,14
29,15
30,15
31,15
32,16
33,16
34,16
35,17
36,17
37,17
38,17
39,17
40,17
41,18
42,18
43,18
44,18
45,19
46,19
47,19
48,20
49,20
50,20
51,20
52,20
53,20
54,20
55,20
56,21
57,22
58,22
59,22
60,23
61,23
62,23
63,23
64,23
65,23
66,23
67,24
68,25
69,25
70,25
71,25
72,25
73,26
74,27
75,28
76,28
77,28
78,28
79,28
80,28
81,29
82,29
83,30
84,31
85,31
86,31
87,31
88,31
89,32
90,33
91,33
92,33
93,34
94,35
95,36
96,37
97,38
98,38
99,39
100,40
