Subpopulation,Counter,Strategy,Short strategy,Simplified strategy,Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity,fitness,timestamp
0,106,random-action-of-type-other-than:click-action:,WB,WB,1.0,69.0,50.0,50.0,1.0,44.0,0.0,0.0,0.0,0.5,2019-05-02 20:09:39
0,107,random-action-of-type-other-than:click-action:,WB,WB,1.0,61.0,50.0,50.0,1.0,48.0,0.0,0.0,0.0,0.5,2019-05-02 20:10:48
0,108,if-then-else:equalstype:hit-key-action:type-action:random-unexecuted-action-of-type:type-of-action-of:random-least-executed-action:random-action-of-type-other-than:type-of-action-of:if-then-else:drag-actions-available:previous-action:random-most-executed-action:,G86325XW5GDTY,W5GDTY,1.0,130.0,50.0,50.0,4.0,33.0,13.0,0.0,0.0,0.2,2019-05-02 20:13:13
0,109,if-then-else:equalstype:hit-key-action:type-action:random-unexecuted-action-of-type:type-of-action-of:random-least-executed-action:random-action-of-type-other-than:type-of-action-of:if-then-else:drag-actions-available:previous-action:random-most-executed-action:,G86325XW5GDTY,W5GDTY,1.0,100.0,50.0,50.0,5.0,39.0,12.5,0.0,0.0,0.16666666666666666,2019-05-02 20:14:39
0,110,random-action-of-type-other-than:type-of-action-of:random-unexecuted-action-of-type:hit-key-action:,W526,W6,1.0,73.0,50.0,50.0,9.0,17.0,0.0,0.0,0.0,0.1,2019-05-02 20:16:09
0,111,random-action-of-type-other-than:type-of-action-of:random-unexecuted-action-of-type:hit-key-action:,W526,W6,1.0,181.0,49.0,49.0,26.0,35.0,0.0,0.0,0.0,0.037037037037037035,2019-05-02 20:19:25
0,112,random-action-of-type:click-action:,VB,VB,1.0,45.0,50.0,50.0,5.0,7.0,0.0,0.0,0.0,0.16666666666666666,2019-05-02 20:20:29
0,113,random-action-of-type:click-action:,VB,VB,1.0,61.0,50.0,50.0,10.0,22.0,0.0,0.0,0.0,0.09090909090909091,2019-05-02 20:21:46
0,114,previous-action:,T,T,1.0,35.0,50.0,50.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,2019-05-02 20:22:36
0,115,previous-action:,T,T,1.0,36.0,50.0,50.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,2019-05-02 20:23:27
1,0,random-action-of-type-other-than:type-of-action-of:random-unexecuted-action-of-type:hit-key-action:,W526,W6,1.0,181.0,49.0,49.0,26.0,35.0,0.0,0.0,0.0,0.037037037037037035,2019-05-02 20:23:27
1,116,random-action-of-type:type-action:,V3,V3,1.0,65.0,50.0,50.0,10.0,26.0,50.0,0.0,0.0,0.09090909090909091,2019-05-02 20:24:48
1,117,random-action-of-type:type-action:,V3,V3,1.0,54.0,50.0,50.0,7.5,21.5,50.0,0.0,0.0,0.11764705882352941,2019-05-02 20:25:49
