ActionsExecuted, UniqueStates
1,1
2,2
3,3
4,3
5,3
6,3
7,4
8,4
9,5
10,6
11,6
12,6
13,6
14,7
15,7
16,7
17,8
18,9
19,10
20,10
21,11
22,12
23,13
24,13
25,14
26,15
27,15
28,15
29,16
30,16
31,16
32,16
33,17
34,17
35,17
36,17
37,17
38,17
39,18
40,19
41,19
42,19
43,19
44,20
45,20
46,20
47,21
48,21
49,21
50,22
51,22
52,23
53,23
54,23
55,23
56,23
57,23
58,24
59,24
60,24
61,25
62,25
63,25
64,25
65,25
66,25
67,25
68,25
69,25
70,25
71,25
72,25
73,26
74,26
75,26
76,26
77,26
78,27
79,27
80,27
81,27
82,27
83,27
84,27
85,27
86,27
87,27
88,28
89,28
90,28
91,28
92,28
93,28
94,28
95,28
96,28
97,29
98,29
99,29
100,29
