ActionsExecuted, UniqueStates
1,1
2,2
3,3
4,3
5,4
6,4
7,5
8,5
9,6
10,7
11,8
12,9
13,10
14,11
15,11
16,11
17,12
18,12
19,12
20,12
21,13
22,14
23,15
24,16
25,16
26,17
27,17
28,18
29,18
30,19
31,19
32,19
33,19
34,20
35,21
36,22
37,22
38,22
39,23
40,24
41,24
42,25
43,25
44,26
45,26
46,26
47,26
48,26
49,26
50,26
51,26
52,26
53,27
54,27
55,28
56,28
57,28
58,28
59,29
60,30
61,31
62,31
63,31
64,32
65,32
66,32
67,32
68,32
69,33
70,33
71,34
72,34
73,34
74,34
75,34
76,34
77,34
78,34
79,34
80,35
81,36
82,36
83,36
84,36
85,37
86,37
87,37
88,38
89,38
90,39
91,40
92,40
93,40
94,40
95,40
96,40
97,40
98,41
99,41
100,41
