Subpopulation,Counter,Strategy,Short strategy,Simplified strategy,Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity,fitness, fitness median, fitnes mean, timestamp
0,1,random-unexecuted-action-of-type:hit-key-action:,26,26,1.0,39.0,98.0,98.0,16.0,22.0,98.0,0.0,0.0,0.0625,0.0,0.0,2019-10-19 14:12:24
0,2,random-unexecuted-action-of-type:hit-key-action:,26,26,1.0,41.0,100.0,100.0,27.0,37.0,100.0,0.0,0.0,0.037037037037037035,0.0,0.0,2019-10-19 14:13:13
0,3,random-unexecuted-action-of-type:hit-key-action:,26,26,1.0,40.0,100.0,100.0,23.0,34.0,100.0,0.0,0.0,0.043478260869565216,0.0,0.0,2019-10-19 14:13:59
0,4,random-unexecuted-action-of-type:hit-key-action:,26,26,1.0,46.0,100.0,100.0,22.0,28.0,99.0,0.0,0.0,0.045454545454545456,0.0,0.0,2019-10-19 14:14:52
0,5,random-unexecuted-action-of-type:hit-key-action:,26,26,1.0,104.0,47.0,47.0,15.0,24.0,46.0,0.0,0.9999999,0.06666666666666667,0.045454545454545456,0.051027302005562866,2019-10-19 14:16:42
0,6,previous-action:,T,T,1.0,35.0,100.0,100.0,2.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,2019-10-19 14:17:23
0,7,previous-action:,T,T,1.0,29.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019-10-19 14:17:57
0,8,previous-action:,T,T,1.0,33.0,100.0,100.0,3.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2019-10-19 14:18:37
0,9,previous-action:,T,T,1.0,28.0,100.0,100.0,2.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,2019-10-19 14:19:11
0,10,previous-action:,T,T,1.0,31.0,100.0,100.0,2.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5666666666666667,2019-10-19 14:19:47
0,11,random-unexecuted-action:,1,1,1.0,53.0,100.0,100.0,16.0,89.0,11.0,0.0,0.0,0.0625,0.0,0.0,2019-10-19 14:20:46
0,12,random-unexecuted-action:,1,1,1.0,45.0,100.0,100.0,13.0,99.0,1.0,0.0,0.0,0.07692307692307693,0.0,0.0,2019-10-19 14:21:37
0,13,random-unexecuted-action:,1,1,1.0,52.0,98.0,98.0,24.0,90.0,8.0,0.0,0.0,0.041666666666666664,0.0,0.0,2019-10-19 14:22:34
0,14,random-unexecuted-action:,1,1,1.0,42.0,100.0,100.0,22.0,92.0,8.0,0.0,0.0,0.045454545454545456,0.0,0.0,2019-10-19 14:23:21
0,15,random-unexecuted-action:,1,1,1.0,51.0,100.0,100.0,14.0,97.0,3.0,0.0,0.0,0.07142857142857142,0.0625,0.0595945720945721,2019-10-19 14:24:17
0,16,random-unexecuted-action-of-type:click-action:,2B,2B,1.0,52.0,100.0,100.0,54.0,82.0,19.0,0.0,0.0,0.018518518518518517,0.0,0.0,2019-10-19 14:25:15
0,17,random-unexecuted-action-of-type:click-action:,2B,2B,1.0,34.0,100.0,100.0,8.0,22.0,91.0,0.0,0.0,0.125,0.0,0.0,2019-10-19 14:25:56
0,18,random-unexecuted-action-of-type:click-action:,2B,2B,1.0,34.0,100.0,100.0,34.0,70.0,31.0,0.0,0.0,0.029411764705882353,0.0,0.0,2019-10-19 14:26:36
0,19,random-unexecuted-action-of-type:click-action:,2B,2B,1.0,56.0,88.0,88.0,40.0,77.0,11.0,0.0,0.0,0.025,0.0,0.0,2019-10-19 14:27:37
0,20,random-unexecuted-action-of-type:click-action:,2B,2B,1.0,35.0,100.0,100.0,28.0,55.0,49.0,0.0,0.0,0.03571428571428571,0.029411764705882353,0.04672891378773732,2019-10-19 14:28:18
0,21,random-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-most-executed-action:,V525W5Y,V5W5Y,1.0,45.0,100.0,100.0,5.0,78.0,11.0,0.0,0.0,0.2,0.0,0.0,2019-10-19 14:29:09
0,22,random-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-most-executed-action:,V525W5Y,V5W5Y,1.0,45.0,100.0,100.0,11.0,75.0,10.0,0.0,0.0,0.09090909090909091,0.0,0.0,2019-10-19 14:30:00
