ActionsExecuted, UniqueStates
1,1
2,2
3,2
4,3
5,3
6,3
7,4
8,4
9,4
10,4
11,5
12,5
13,5
14,5
15,5
16,5
17,6
18,7
19,7
20,7
21,8
22,9
23,9
24,9
25,10
26,11
27,12
28,12
29,12
30,12
31,12
32,12
33,12
34,13
35,14
36,14
37,14
38,14
39,15
40,15
41,16
42,16
43,16
44,16
45,17
46,18
47,19
48,19
49,19
50,20
51,20
52,20
53,20
54,20
55,21
56,21
57,21
58,21
59,21
60,21
61,21
62,21
63,21
64,21
65,21
66,21
67,21
68,21
69,22
70,22
71,22
72,22
73,22
74,22
75,22
76,22
77,22
78,22
79,22
80,23
81,23
82,23
83,23
84,23
85,23
86,23
87,24
88,25
89,25
90,26
91,26
92,26
93,26
94,26
95,26
96,26
97,26
98,26
99,26
100,26
101,26
102,26
103,26
104,27
105,28
106,29
107,30
108,31
109,32
110,32
111,33
112,34
113,35
114,36
115,36
116,36
117,37
118,37
119,37
120,37
121,38
122,38
123,39
124,39
125,40
126,40
127,41
128,41
129,42
130,43
131,43
132,43
133,44
134,44
135,44
136,44
137,45
138,45
139,45
140,45
141,45
142,45
143,45
144,46
145,47
146,47
147,47
148,47
149,48
150,48
151,48
152,48
153,49
154,49
155,49
156,50
157,50
158,50
159,50
160,50
161,50
162,50
163,51
164,51
165,52
166,52
167,53
168,53
169,54
170,54
171,54
172,54
173,55
174,56
175,57
176,57
177,58
178,58
179,59
180,59
181,60
182,60
183,60
184,61
185,61
186,62
187,63
188,63
189,63
190,63
191,63
192,64
193,64
194,64
195,64
196,65
197,65
198,65
199,65
200,65
201,65
202,65
203,65
204,65
205,65
206,65
207,66
208,66
209,66
210,67
211,68
212,68
213,69
214,69
215,69
216,70
217,71
218,71
219,72
220,72
221,72
222,72
223,73
224,74
225,75
226,75
227,75
228,75
229,75
230,75
231,76
232,77
233,77
234,77
235,77
236,78
237,79
238,79
239,79
240,79
241,79
242,79
243,79
244,79
245,79
246,79
247,79
248,79
249,80
250,81
251,81
252,82
253,83
254,84
255,85
256,86
257,86
258,86
259,86
260,86
261,86
262,86
263,86
264,86
265,86
266,86
267,87
268,88
269,89
270,89
271,89
272,89
273,89
274,90
275,91
276,92
277,92
278,92
279,92
280,92
281,93
282,93
283,94
284,95
285,96
286,96
287,96
288,96
289,96
290,96
291,96
292,97
293,97
294,98
295,98
296,98
297,98
298,99
299,99
300,100
301,100
302,101
303,101
304,101
305,102
306,102
307,102
308,102
309,103
310,103
311,104
312,104
313,105
314,105
315,105
316,105
317,105
318,106
319,106
320,107
321,108
322,109
323,109
324,109
325,109
326,109
327,110
328,111
329,112
330,113
331,113
332,113
333,114
334,114
335,114
336,114
337,114
338,114
339,114
340,114
341,114
342,115
343,116
344,116
345,117
346,118
347,118
348,118
349,118
350,119
351,120
352,120
353,120
354,120
355,120
356,120
357,121
358,121
359,121
360,122
361,123
362,123
363,123
364,123
365,124
366,124
367,125
368,125
369,126
370,127
371,128
372,129
373,130
374,130
375,130
376,131
377,131
378,131
379,131
380,131
381,131
382,132
383,133
384,134
385,134
386,135
387,136
388,136
389,136
390,136
391,136
392,136
393,136
394,137
395,138
396,139
397,139
398,139
399,139
400,140
401,140
402,140
403,140
404,140
405,141
406,141
407,141
408,141
409,141
410,141
411,142
412,143
413,143
414,143
415,144
416,144
417,145
418,145
419,145
420,145
421,145
422,145
423,145
424,145
425,145
426,145
427,145
428,145
429,145
430,145
431,145
432,145
433,145
434,145
435,145
436,145
437,145
438,145
439,145
440,145
441,145
442,145
443,145
444,145
445,145
446,145
447,145
448,145
449,145
450,145
451,145
452,145
453,145
454,145
455,145
456,145
457,145
458,145
459,146
460,146
461,146
462,146
463,146
464,146
465,146
466,146
467,146
468,146
469,146
470,146
471,146
472,147
473,147
474,147
475,147
476,147
477,147
478,148
479,148
480,149
481,149
482,150
483,150
484,151
485,151
486,151
487,152
488,153
489,154
490,155
491,155
492,155
493,156
494,156
495,156
496,157
497,157
498,157
499,157
500,157
