ActionsExecuted, UniqueStates
1,1
2,2
3,3
4,4
5,5
6,6
7,6
8,6
9,7
10,7
11,8
12,8
13,9
14,9
15,9
16,10
17,11
18,12
19,12
20,12
21,12
22,12
23,12
24,12
25,13
26,14
27,15
28,16
29,17
30,17
31,17
32,17
33,17
34,17
35,17
36,17
37,17
38,18
39,19
40,20
41,21
42,21
43,22
44,23
45,24
46,25
47,25
48,25
49,26
50,26
51,26
52,26
53,26
54,26
55,27
56,27
57,27
58,27
59,27
60,27
61,28
62,29
63,30
64,30
65,31
66,32
67,32
68,32
69,33
70,33
71,33
72,33
73,34
74,35
75,36
76,37
77,37
78,38
79,38
80,38
81,39
82,39
83,39
84,39
85,39
86,39
87,39
88,40
89,40
90,40
91,40
92,40
93,40
94,41
95,41
96,41
97,41
98,41
99,42
100,42
